时间,标题,链接
2013-06-06,关于公布2013年中南大学大学生创新创业年会情况的通知,https://bksy.csu.edu.cn/info/1062/1977.htm
2013-06-04,关于举办2013年中南大学大学生创新创业年会的通知,https://bksy.csu.edu.cn/info/1062/1971.htm
2013-06-02,关于开通创新创业年会学生项目“网络人气奖”投票系统的通知,https://bksy.csu.edu.cn/info/1062/1965.htm
2013-05-27,2013年国家级大学生创新创业训练计划立项项目公示,https://bksy.csu.edu.cn/info/1062/1956.htm
2013-05-16,关于对2012年度米塔尔学生创新创业项目资助立项项目进行,https://bksy.csu.edu.cn/info/1062/1948.htm
2013-04-18,关于对创业教育与专业教育相结合情况进行调研的通知,https://bksy.csu.edu.cn/info/1062/1927.htm
2013-04-18,关于推荐大学生创新创业教育指导教师专家库专家的通知,https://bksy.csu.edu.cn/info/1062/1926.htm
2013-04-12,关于公示2013年大学生创新创业训练计划省级创新立项项目的通知,https://bksy.csu.edu.cn/info/1062/1917.htm
2013-04-09,关于公布2011年度米塔尔学生创新创业项目资助立项项目结题验收结果的通知,https://bksy.csu.edu.cn/info/1062/1912.htm
2013-03-27,关于组织申报2013年大学生创新创业训练计划项目的通知,https://bksy.csu.edu.cn/info/1062/1903.htm
2013-03-26,关于组织大学生创新创业团队开展“创新创业沙龙”学术活动的通知,https://bksy.csu.edu.cn/info/1062/1902.htm
2013-03-22,关于公布2012年大学生创新创业训练计划项目中期检查评审结果的通知,https://bksy.csu.edu.cn/info/1062/1898.htm
2013-03-15,关于开展2011年大学生创新训练计划项目结题验收工作的通知,https://bksy.csu.edu.cn/info/1062/1888.htm
2014-04-16,关于对2012年度蔡田碹珠学生创新创业资助项目进行结题验收的通知,https://bksy.csu.edu.cn/info/1062/2210.htm
2014-03-27,关于组织申报2014年大学生创新创业训练计划项目的通知,https://bksy.csu.edu.cn/info/1062/2195.htm
2014-02-12,关于开展2012年大学生创新创业训练计划项目结题验收工作的通知,https://bksy.csu.edu.cn/info/1062/2186.htm
2014-01-18,2013年度中南大学蔡田碹珠学生创新创业资助项目立项评审结果公示,https://bksy.csu.edu.cn/info/1062/2183.htm
2014-01-07,关于在2014年寒假期间组织学生开展创新创业教育实践活动的通知,https://bksy.csu.edu.cn/info/1062/2177.htm
2013-12-31,关于公布2013年大学生创新创业训练计划项目中期检查结果及划拨第二批项目经费的通知,https://bksy.csu.edu.cn/info/1062/2173.htm
2013-10-30,关于开展2013年大学生创新创业训练计划项目中期检查工作的通知,https://bksy.csu.edu.cn/info/1062/2123.htm
2013-10-24,关于征集中南大学大学生创新创业成果作品的通知,https://bksy.csu.edu.cn/info/1062/2118.htm
2013-10-21,关于开展2013年度中南大学蔡田碹珠学生创新创业资助项目申报工作的通知,https://bksy.csu.edu.cn/info/1062/2112.htm
2013-10-09,关于组织学生参加湖南省第二届大学生创新实验成果展暨创新论坛的通知,https://bksy.csu.edu.cn/info/1062/2068.htm
2013-09-26,关于公布2012年度米塔尔学生创新创业项目资助立项项目中期检查结果的通知,https://bksy.csu.edu.cn/info/1062/2063.htm
2013-09-03,关于组织申报2014年度长沙市创业富民专项资金项目的通知,https://bksy.csu.edu.cn/info/1062/2028.htm
2013-07-10,关于签订2013年大学生创新创业训练计划项目合同及划拨第一批项目经费的通知,https://bksy.csu.edu.cn/info/1062/2017.htm
2013-07-04,关于公示2013年大学生创新创业训练计划校级立项项目的通知,https://bksy.csu.edu.cn/info/1062/2014.htm
2013-06-26,关于组织学生参加举办第二届中国创新创业大赛（湖南赛区）暨首届湖南省创新创业大赛的通知,https://bksy.csu.edu.cn/info/1062/2007.htm
2014-11-13,关于中南大学第一届大学生云计算应用创新大赛结果公示的通知,https://bksy.csu.edu.cn/info/1062/2371.htm
2014-10-29,关于开展2014年度中南大学蔡田碹珠学生创新创业资助项目立项申报的通知,https://bksy.csu.edu.cn/info/1062/2345.htm
2014-10-28,关于开展2014年大学生创新创业训练计划项目中期检查工作的通知,https://bksy.csu.edu.cn/info/1062/2335.htm
2014-10-28,关于开展2014年本科生自由探索计划项目中期检查的通知,https://bksy.csu.edu.cn/info/1062/2326.htm
2014-10-27,关于中南大学第四届大学生工程训练综合能力竞赛评审结果公示的通知,https://bksy.csu.edu.cn/info/1062/2360.htm
2014-10-17,关于继续组织新生参观创新创业教育实践基地的通知,https://bksy.csu.edu.cn/info/1062/2318.htm
2014-09-18,关于签订2014年大学生创新创业训练计划,https://bksy.csu.edu.cn/info/1062/2275.htm
2014-09-17,关于对互联网创业学生进行登记摸底的通知,https://bksy.csu.edu.cn/info/1062/2265.htm
2014-09-12,关于组织学生申报湖南省大学生创新创业孵化基地第三批入驻项目的通知,https://bksy.csu.edu.cn/info/1062/2257.htm
2014-06-16,关于报送大学生创新创业训练计划工作进展报告的通知,https://bksy.csu.edu.cn/info/1062/2234.htm
2014-06-09,关于公布2012年、2013年大学生创新创业训练计划项目结题验收结果及划拨项目经费的通知,https://bksy.csu.edu.cn/info/1062/2230.htm
2014-05-16,关于召开中南大学2014年大学生创新创业年会大会及学校专场论坛的通知,https://bksy.csu.edu.cn/info/1062/2223.htm
2014-04-22,关于举办2014年中南大学大学生创新创业年会的通知,https://bksy.csu.edu.cn/info/1062/2216.htm
2014-04-22,2014年“创新创业从点滴做起”寒假读书、实践征文评审结果公示,https://bksy.csu.edu.cn/info/1062/2215.htm
2014-04-16,关于对2012年度米塔尔学生创新创业项目资助立项项目进行结题和验收的通知,https://bksy.csu.edu.cn/info/1062/2211.htm
2015-03-25,关于举办第四届中南大学大学生服务外包创新创业大赛暨第六届中国大学生服务外包创新创...,https://bksy.csu.edu.cn/info/1062/2510.htm
2015-03-23,关于组织学生参加“中国创翼”青年创业创新大赛的通知,https://bksy.csu.edu.cn/info/1062/2506.htm
2015-01-30,关于开展2014年本科生自由探索计划项目结题验收工作的通知,https://bksy.csu.edu.cn/info/1062/2461.htm
2015-01-20,关于开展2013年大学生创新创业训练计划项目结题验收工作的通知,https://bksy.csu.edu.cn/info/1062/2456.htm
2015-01-16,关于举办第八届中南大学节能减排社会实践与科技竞赛的通知,https://bksy.csu.edu.cn/info/1062/2445.htm
2015-01-09,关于延长全国大学生英语竞赛报名时间的通知,https://bksy.csu.edu.cn/info/1062/2439.htm
2015-01-05,关于中南大学第六届化学实验技能大赛结果公示的通知,https://bksy.csu.edu.cn/info/1062/2432.htm
2015-01-04,关于在2015年寒假期间组织学生开展创新创业教育实践活动的通知,https://bksy.csu.edu.cn/info/1062/2425.htm
2014-12-19,关于组织我校学生参加2015年全国大学生英语竞赛（NECCS）的通知,https://bksy.csu.edu.cn/info/1062/2418.htm
2014-12-17,关于中南大学第三届大学生物流设计大赛结果公示的通知,https://bksy.csu.edu.cn/info/1062/2414.htm
2014-12-12,关于公布2014年本科生自由探索计划项目中期检查结果的通知,https://bksy.csu.edu.cn/info/1062/2411.htm
2014-12-12,关于公布2014年大学生创新创业训练计划项目中期检查结果及划拨第二批项目经费的通知,https://bksy.csu.edu.cn/info/1062/2410.htm
2014-12-12,关于公布2013年度中南大学蔡田碹珠学生创新创业资助立项项目中期检查结果的通知,https://bksy.csu.edu.cn/info/1062/2406.htm
2014-12-11,关于转发教育部科技发展中心《关于举办“第二届全国高校SDN网络应用创新开发大赛”的通...,https://bksy.csu.edu.cn/info/1062/2400.htm
2014-12-04,关于举办中南大学第六届化学实验技能大赛的通知,https://bksy.csu.edu.cn/info/1062/2431.htm
2015-06-19,关于对2013年度蔡田碹珠学生创新创业资助项目进行结题验收的通知,https://bksy.csu.edu.cn/info/1062/2670.htm
2015-06-11,关于举办中南大学大学生新材料创新设计大赛的通知,https://bksy.csu.edu.cn/info/1062/2648.htm
2015-06-08,关于公布2013年、2014年大学生创新创业训练计划项目结题验收结果,https://bksy.csu.edu.cn/info/1062/2636.htm
2015-06-03,关于组织学生参加第四届中国创新创业大赛（湖南赛区）暨第二届湖南省创新创业大赛的通知,https://bksy.csu.edu.cn/info/1062/2628.htm
2015-06-03,关于参加首届中国“互联网+”大学生创新创业大赛的通知,https://bksy.csu.edu.cn/info/1062/2627.htm
2015-06-02,关于举办首届中南大学矿冶工程化学虚拟仿真设计大奖赛的通知,https://bksy.csu.edu.cn/info/1062/2624.htm
2015-05-22,关于第五届全国大学生电子商务“创新、创意及创业”挑战赛中南大学校内选拔赛结果公示...,https://bksy.csu.edu.cn/info/1062/2603.htm
2015-05-22,关于参加“首届中国大学生跨境电子商务创新创业大赛”的通知,https://bksy.csu.edu.cn/info/1062/2602.htm
2015-04-30,紧急通知：“中国创翼”青年创业创新路演赛延期报名,https://bksy.csu.edu.cn/info/1062/2569.htm
2015-04-30,关于申报中南大学创新创业教育课程建设项目的通知,https://bksy.csu.edu.cn/info/1062/2567.htm
2015-04-23,2014年度中南大学蔡田碹珠学生创新创业资助项目评审结果公示,https://bksy.csu.edu.cn/info/1062/2559.htm
2015-04-23,关于开展2014年创新创业教育先进单位和优秀个人申报评选工作的通知,https://bksy.csu.edu.cn/info/1062/2558.htm
2015-04-22,关于举办2015年中南大学大学生创新创业年会的通知,https://bksy.csu.edu.cn/info/1062/2557.htm
2015-04-07,免费创业能力提升培训“创办你的企业”（SYB）培训招生通知,https://bksy.csu.edu.cn/info/1062/2532.htm
2015-03-25,关于组织申报2015年大学生创新创业项目的通知,https://bksy.csu.edu.cn/info/1062/2512.htm
2015-10-28,关于参加“第一届全国高校互联网金融应用创新大赛”的通知,https://bksy.csu.edu.cn/info/1062/2781.htm
2015-10-23,关于参加2015中国大学生原创动漫大赛的通知,https://bksy.csu.edu.cn/info/1062/2779.htm
2015-10-23,关于开展2015年大学生创新创业项目中期检查工作的通知,https://bksy.csu.edu.cn/info/1062/2777.htm
2015-10-20,关于参加“智汇无锡”大学生创业路演（长沙站）的通知,https://bksy.csu.edu.cn/info/1062/2774.htm
2015-10-19,关于举办第七届中南大学大学生机械创新设计竞赛通知,https://bksy.csu.edu.cn/info/1062/2772.htm
2015-10-15,关于组织新生参观创新创业教育实践基地的通知,https://bksy.csu.edu.cn/info/1062/2771.htm
2015-09-18,关于申报2015年度“赛尔网络下一代互联网技术创新项目”的通知,https://bksy.csu.edu.cn/info/1062/2752.htm
2015-08-02,关于公示中南大学首批创客空间的通知,https://bksy.csu.edu.cn/info/1062/2733.htm
2015-07-28,关于公示中南大学首批创新创业教育课程建设项目立项的通知,https://bksy.csu.edu.cn/info/1062/2731.htm
2015-07-28,关于开展2015年度米塔尔学生创新创业项目资助申报工作的通知,https://bksy.csu.edu.cn/info/1062/2730.htm
2015-07-28,关于开展2015年度米塔尔优秀学生创新创业奖评选工作的通知,https://bksy.csu.edu.cn/info/1062/2729.htm
2015-07-13,关于签订2015年大学生创新创业项目合同及划拨第一批项目经费的通知,https://bksy.csu.edu.cn/info/1062/2721.htm
2015-06-26,关于公示2015年大学生创新创业项目立项的通知,https://bksy.csu.edu.cn/info/1062/2689.htm
2015-06-23,关于2015年“创新创业从点滴做起”寒假读书、实践征文评审结果公示的通知,https://bksy.csu.edu.cn/info/1062/2674.htm
2015-06-23,关于组织申报国家大学生创新创业训练计划联合基金项目的通知,https://bksy.csu.edu.cn/info/1062/2671.htm
2018-04-10,关于举办中南大学第七届大学生智能科技作品大赛通知,https://bksy.csu.edu.cn/info/1062/3568.htm
2018-03-26,关于组织参加《深化“课程思政”的路径与方法》专题研修班的通知,https://bksy.csu.edu.cn/info/1062/3545.htm
2018-03-23,关于举办2018年中南大学生物医学工程创新设计竞赛的通知,https://bksy.csu.edu.cn/info/1062/3544.htm
2018-03-23,关于举办2018年中南大学非英语专业大学生英语课本剧表演比赛的通知,https://bksy.csu.edu.cn/info/1062/3543.htm
2018-03-22,关于举办中南大学第十二届大学生程序设计竞赛的通知,https://bksy.csu.edu.cn/info/1062/3542.htm
2018-03-15,关于举行中南大学第十二届物理竞赛的通知,https://bksy.csu.edu.cn/info/1062/3451.htm
2018-03-15,关于举办中南大学第二届材料物相鉴定竞赛的通知,https://bksy.csu.edu.cn/info/1062/3450.htm
2018-03-14,关于举办2018年中南大学第八届化学实验技能大赛的通知,https://bksy.csu.edu.cn/info/1062/3429.htm
2018-03-14,关于举办2018年中南大学第七届智能机器人大赛的通知,https://bksy.csu.edu.cn/info/1062/3428.htm
2018-03-13,关于举办中南大学团体程序设计天梯赛的通知,https://bksy.csu.edu.cn/info/1062/3419.htm
2016-01-21,关于组织开展中南大学创新创业教育课程“精彩一课”征集评选工作的通知,https://bksy.csu.edu.cn/info/1062/3195.htm
2016-01-15,2016年大学生创新创业项目申报准备工作指南,https://bksy.csu.edu.cn/info/1062/3194.htm
2016-01-14,关于开展2014年、2015年大学生创新创业立项项目结题验收工作的通知,https://bksy.csu.edu.cn/info/1062/3193.htm
2015-12-08,关于公布2015年大学生创新创业项目中期检查结果及划拨项目经费的通知,https://bksy.csu.edu.cn/info/1062/3175.htm
2015-10-28,关于参加“第三届全国高校物联网应用创新大赛”的通知,https://bksy.csu.edu.cn/info/1062/2782.htm
2018-04-24,关于2018年中南大学第十二届大学物理竞赛结果公示的通知,https://bksy.csu.edu.cn/info/1062/3616.htm
2018-04-24,关于举办中南大学信息安全技能大赛暨全国大学生信息安全竞赛创新实践能力赛校内选拔赛...,https://bksy.csu.edu.cn/info/1062/3614.htm
2018-04-19,关于2018届本科毕业设计(论文)中期检查的通知,https://bksy.csu.edu.cn/info/1062/3604.htm
2018-04-19,关于举办2018年中南大学英语演讲比赛的通知,https://bksy.csu.edu.cn/info/1062/3603.htm
2018-04-19,关于组织推荐2018年湖南省大学生科技创新创业菁英培育计划人选的通知,https://bksy.csu.edu.cn/info/1062/3602.htm
2018-04-17,关于报送中南大学学生创办公司、工作室情况的通知,https://bksy.csu.edu.cn/info/1062/3588.htm
2018-04-17,关于参加“建行杯”第四届湖南省“互联网+”大学生创新创业大赛暨全国大赛选拔赛推进会...,https://bksy.csu.edu.cn/info/1062/3585.htm
2018-04-17,关于开展2017年度米塔尔优秀学生创新创业奖评选工作的通知,https://bksy.csu.edu.cn/info/1062/3584.htm
2018-04-17,关于开展2017年创新创业教育先进单位和优秀个人申报评选工作的通知,https://bksy.csu.edu.cn/info/1062/3583.htm
2018-04-12,关于举办中南大学第十三届大学生数学建模竞赛暨2018年全国大学生数学建模竞赛选拔赛的...,https://bksy.csu.edu.cn/info/1062/3579.htm
2018-04-12,关于征集2013年-2017年学科竞赛参赛实物、获奖奖杯和奖牌的通知,https://bksy.csu.edu.cn/info/1062/3578.htm
2018-04-10,关于举办中南大学第十届大学生测绘实践创新能力竞赛的通知,https://bksy.csu.edu.cn/info/1062/3573.htm
2018-04-10,关于中南大学第十二届大学生物理竞赛考场安排的通知,https://bksy.csu.edu.cn/info/1062/3572.htm
2018-04-10,关于举办2018年中南大学大学生力学竞赛暨“第十四届湖南省大学生力学竞赛”选拔赛的通...,https://bksy.csu.edu.cn/info/1062/3570.htm
2018-04-10,关于2018年中南大学全国大学生英语竞赛初赛考场安排通知,https://bksy.csu.edu.cn/info/1062/3569.htm
2018-05-10,关于公示2018年研究性学习和创新性实验计划拟立项项目的通知,https://bksy.csu.edu.cn/info/1062/3703.htm
2018-05-10,关于中南大学第十一届大学生节能减排大赛推荐入围国赛作品的公示,https://bksy.csu.edu.cn/info/1062/3702.htm
2018-05-10,关于组织开展2018年度“北斗微小课题”申报工作的通知,https://bksy.csu.edu.cn/info/1062/3701.htm
2018-05-03,关于组织2018届本科毕业生校学位外语考试的通知,https://bksy.csu.edu.cn/info/1062/3649.htm
2018-05-03,关于举办2018年湖南省大学生电子设计竞赛中南大学校内赛的通知,https://bksy.csu.edu.cn/info/1062/3648.htm
2018-05-03,关于2018年中南大学大学生力学竞赛考场安排的通知,https://bksy.csu.edu.cn/info/1062/3647.htm
2018-05-03,关于开展已立项教材检查验收及2018年教材立项申报工作的通知,https://bksy.csu.edu.cn/info/1062/3646.htm
2018-05-03,关于2018年中南大学第八届化学实验技能大赛结果公示的通知,https://bksy.csu.edu.cn/info/1062/3645.htm
2018-05-03,关于中南大学第十二届大学生程序设计竞赛结果公示的通知,https://bksy.csu.edu.cn/info/1062/3638.htm
2018-04-24,关于2018年全国大学生英语竞赛初赛中南大学获奖学生名单公示的通知,https://bksy.csu.edu.cn/info/1062/3625.htm
2018-04-24,关于公示2018年湖南省大学生科技创新创业菁英培育计划推荐人选的通知,https://bksy.csu.edu.cn/info/1062/3623.htm
2018-04-24,关于举办创响中国系列活动“创响中南大学站”活动暨2018年中南大学大学生创新创业年会...,https://bksy.csu.edu.cn/info/1062/3621.htm
2018-04-24,关于2018年度校外基地建设申报项目答辩评审的通知,https://bksy.csu.edu.cn/info/1062/3619.htm
2018-04-24,关于举办“第四届中南大学矿冶工程化学虚拟仿真设计大赛”的通知,https://bksy.csu.edu.cn/info/1062/3618.htm
2018-04-24,关于第一届中南大学化工实验竞赛成绩公示通知,https://bksy.csu.edu.cn/info/1062/3617.htm
2018-05-29,关于2018年中南大学第三届物理学术竞赛暨中南地区赛和第九届全国物理学术竞赛（CUPT）...,https://bksy.csu.edu.cn/info/1062/3737.htm
2018-05-28,关于2018年中南大学第七届智能机器人大赛结果公示的通知,https://bksy.csu.edu.cn/info/1062/3739.htm
2018-05-28,关于中南大学第三届电子设计创客大赛暨全国大学生机器人竞赛校内选拔赛结果公示的通知,https://bksy.csu.edu.cn/info/1062/3738.htm
2018-05-25,关于组织参加第四届中国“互联网＋”大学生创新创业大赛暨2018中南大学“互联网＋”大...,https://bksy.csu.edu.cn/info/1062/3735.htm
2018-05-18,关于举办第六届中南大学结构设计竞赛的通知,https://bksy.csu.edu.cn/info/1062/3730.htm
2018-05-18,关于参加中国创新创业大赛（湖南赛）暨第五届湖南省创新创业大赛的通知,https://bksy.csu.edu.cn/info/1062/3729.htm
2018-05-18,关于参加第三届“中国创翼”创业创新大赛湖南省选拔赛的通知,https://bksy.csu.edu.cn/info/1062/3728.htm
2018-05-14,关于开设中南大学知识产权远程教育课外研学课程的通知,https://bksy.csu.edu.cn/info/1062/3717.htm
2018-05-14,2018年中南大学创业实践项目与佳纳创业项目立项答辩通知,https://bksy.csu.edu.cn/info/1062/3716.htm
2018-05-14,关于2018年中南大学第一届英语生理学知识竞赛公示的通知,https://bksy.csu.edu.cn/info/1062/3715.htm
2018-05-14,关于举办“创响中国”中南大学站暨2018年中南大学大学生创新创业年会学校专场的通知,https://bksy.csu.edu.cn/info/1062/3714.htm
2018-05-14,关于组织开展湖南省“十三五”普通高校创新创业教育中心和基地申报与推荐工作的通知,https://bksy.csu.edu.cn/info/1062/3713.htm
2018-05-10,关于召开本科教学工作审核评估协调会的通知,https://bksy.csu.edu.cn/info/1062/3706.htm
2018-05-10,关于2018年全国大学生英语竞赛(NECCS)决赛湖南赛区考试安排的通知,https://bksy.csu.edu.cn/info/1062/3705.htm
2018-05-10,关于公示中南大学2017年创新创业教育先进单位和优秀个人名单的通知,https://bksy.csu.edu.cn/info/1062/3704.htm
2018-07-12,关于进一步开展中南大学“青年红色筑梦之旅”活动的通知,https://bksy.csu.edu.cn/info/1062/3883.htm
2018-07-04,中南大学第四届互联网+大学生创新创业比赛第二轮比赛及路演培训通知,https://bksy.csu.edu.cn/info/1062/3858.htm
2018-07-04,关于2018年中南大学电子设计大赛获奖结果公示的通知,https://bksy.csu.edu.cn/info/1062/3856.htm
2018-07-03,关于举办2018年中南大学医学显微摄影大赛的通知,https://bksy.csu.edu.cn/info/1062/3853.htm
2018-06-29,关于开展2018年中南大学暑假数学建模培训报名的通知,https://bksy.csu.edu.cn/info/1062/3850.htm
2018-06-29,关于举办2018年中南大学大学生数学竞赛暨第十届全国大学生数学竞赛初赛选拔赛的通知,https://bksy.csu.edu.cn/info/1062/3849.htm
2018-06-25,关于中南大学第十三届大学生数学建模竞赛获奖结果公示通知,https://bksy.csu.edu.cn/info/1062/3832.htm
2018-06-20,关于公布2018年“创新创业从点滴做起”寒假读书、实践征文评审结果及优秀组织奖的通知,https://bksy.csu.edu.cn/info/1062/3825.htm
2018-06-20,关于2018年中南大学英语演讲比赛结果公示的通知,https://bksy.csu.edu.cn/info/1062/3824.htm
2018-06-20,关于中南大学第六届大学生结构设计竞赛获奖学生名单公示的通知,https://bksy.csu.edu.cn/info/1062/3823.htm
2018-06-13,关于参加第一届“京津冀-粤港澳”（国际）青年创新创业大赛的通知,https://bksy.csu.edu.cn/info/1062/3789.htm
2018-06-11,关于中南大学第十届大学生测绘实践创新能力大赛获奖名单公示的通知,https://bksy.csu.edu.cn/info/1062/3779.htm
2018-06-11,关于参加“我的创新创业故事”暨微视频征集活动的通知,https://bksy.csu.edu.cn/info/1062/3778.htm
2018-06-05,关于2018年中南大学大学生力学竞赛结果的公示,https://bksy.csu.edu.cn/info/1062/3765.htm
